-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 
Location: Latitude  -6.7125   Longitude 106.6471 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 371.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
WS2M_MIN              MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
WS2M_MAX              MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_SW_DWN,T2M,PRECTOTCORR,QV2M,WS2M,WS2M_MIN,WS2M_MAX
2022,1,18.5,24.12,0.85,16.78,2.09,1.26,3.23
2022,2,16.49,24.23,1.79,17.21,2.25,1.32,3.41
2022,3,22.87,24.78,0.4,16.6,1.56,0.64,2.59
2022,4,22.17,24.94,0.22,16.11,1.11,0.2,1.9
2022,5,19.93,25.51,5.71,17.46,0.79,0.11,1.98
2022,6,16.57,24.93,9.45,17.33,1.38,0.8,2.24
2022,7,19.2,24.13,16.16,17.4,1.92,1.12,2.42
2022,8,18.65,25.12,3.37,17.7,1.34,0.69,2.39
2022,9,18.6,24.82,4.79,17.76,1.82,1.05,2.95
2022,10,14.85,24.91,9.14,18.01,1.41,0.71,2.07
2022,11,16.29,24.14,21.5,18.01,1.88,0.67,3.38
2022,12,15.79,23.5,13.86,17.27,1.96,0.78,4.18
2022,13,16.52,23.59,9.72,17.27,1.81,0.74,3.46
2022,14,14.37,24.1,6.9,17.21,1.92,0.77,3.72
2022,15,14.89,24.24,8.97,17.76,1.73,0.73,3.27
2022,16,14.25,24.32,4.37,17.76,1.67,0.72,3.31
2022,17,17.54,24.74,6.81,17.94,1.62,0.83,2.8
2022,18,9.61,23.92,27.21,17.94,2.07,0.79,4.21
2022,19,17.2,24.06,26.26,17.46,2.2,0.84,4.34
2022,20,9.37,23.61,8.59,17.27,2.18,1.09,4.24
