system:index,date,heat_index,maximum_temperature,minimum_temperature,relative_humidity,saturation_vapor_pressure,vapor_pressure_deficit,.geo
1983_01_01,19830101,79.0276815114004,29.044201875344303,22.010045076027897,80.83440027481471,3.3438023830944803,0.6446795401337383,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_02,19830102,82.4114717197069,29.842859470800605,22.872178556281565,77.25052874778216,3.5104495824038326,0.8025859347629897,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_03,19830103,74.44878949175825,25.366618921468543,21.06241278595977,90.35567941071785,2.8774858656383695,0.28123010277420607,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_04,19830104,77.5164057693202,28.514536728352418,21.34061174078302,83.11870737040874,3.2294169022486763,0.5488528249027965,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_05,19830105,78.58877898834564,28.664231632218694,21.915477291568294,85.20657351427462,3.292118189535735,0.4908967641465393,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_06,19830106,77.50079535739326,28.282976010780196,21.56311480204264,82.81857095795236,3.220739239738101,0.5568899996988066,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_07,19830107,77.29041212033003,27.98441516610729,21.63278008205987,83.07100534963085,3.193087898331248,0.544397506303403,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_08,19830108,76.17825932205815,27.041193252954727,21.242768535683883,89.35811757517385,3.0604410468440353,0.3291484759404109,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_09,19830109,78.92680333734869,29.363997882102435,21.520727010873646,83.18198618347392,3.3423007809635483,0.5662945460923863,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_10,19830110,78.89988255762792,28.7274895692483,22.111811913850108,83.85736396985178,3.3152666877914263,0.5389392581178155,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_11,19830111,77.62253436413441,28.884061820341117,21.089928693387098,82.85587827801267,3.2525115956316935,0.5616686811377277,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_12,19830112,79.40543125138615,28.955395464495425,22.496647363180646,79.77293365254944,3.3732727988735665,0.6859658654137845,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_13,19830113,78.27818541474394,28.368649220728614,22.028647433270464,80.72932327885331,3.2681750430292262,0.6341091967546023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_14,19830114,77.00197640443459,28.451037913451707,20.822019793611744,84.63549147944748,3.1822526952722567,0.49266378554232393,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_15,19830115,77.66155827001775,27.963698376666056,22.03376666617481,83.57257334391275,3.222964507756216,0.533245855744505,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_16,19830116,79.6619645562364,28.788965001647725,22.852203515859753,81.28585172660186,3.3839042605934564,0.637053520251543,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_17,19830117,83.30460815988616,29.89478340428391,23.170131704309487,80.26952761695497,3.5422026892721434,0.7029615526015942,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_18,19830118,78.4584484729138,28.043579332121123,22.393958507440033,85.78664149469508,3.2613061242924504,0.4674727494245047,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_19,19830119,77.78681590880231,27.44123099051116,22.658480242495138,84.79111782535091,3.2177777788141273,0.49359057739977436,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_20,19830120,76.60885874430339,26.814972573584253,21.96359109005212,87.7923810071561,3.0940766884730415,0.38148355778757037,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_21,19830121,76.74576716719967,27.16171892047365,21.77742696070409,87.16072048983732,3.115388755833273,0.4036374270042657,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_22,19830122,75.36469383379479,26.23567671304221,21.183886685214198,89.49820594647865,2.9729267319480144,0.31617638547887733,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_23,19830123,77.73211407224773,28.718766271849695,21.332577017200737,84.40853820353637,3.252353373027983,0.5112422290957456,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_24,19830124,78.3391370668516,28.617183755168988,21.890140715099516,79.56906245304988,3.284829581613506,0.6749339722670041,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_25,19830125,77.83289404229804,28.75022324362954,21.509771095527398,80.30631918435567,3.2698710130684545,0.6480432244447561,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_26,19830126,79.13124171106809,28.498239237746912,22.613286769433774,82.24605624579685,3.3304859744760145,0.5949650294396467,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_27,19830127,78.9929657261887,28.77527848966829,22.196557397807474,82.17132722065125,3.327917076292492,0.5975253589642354,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_28,19830128,82.72591506343184,30.46274941832155,22.485947919852567,76.86516707982773,3.554096864693331,0.8256086641615563,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_29,19830129,84.25162997961917,30.21227557143886,23.629071993705555,77.59506038344388,3.6212220908084634,0.815510094165802,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_30,19830130,80.40072810693539,29.381138253124643,22.98158581352933,80.41358059055203,3.4641771264128636,0.6824368547388922,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_31,19830131,83.88401992853746,31.04332023313194,22.522719575371934,78.2671108036251,3.6310372658264947,0.7928447260524765,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_01,19830201,77.64561238830343,28.41980568043915,21.533923970037325,84.65265390025826,3.234084826249343,0.5005055757669301,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_02,19830202,78.80279348184776,28.496804303738664,22.211118425641743,84.96428688803873,3.2970563256260244,0.4995989478551424,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_03,19830203,75.68893049750136,26.528758821033293,21.243725905924926,89.10370543762878,3.0074730312431255,0.3318283348293095,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_04,19830204,77.1231193123283,27.94487716339447,21.452289231967576,84.79977375072438,3.1745000042758145,0.4864555184657757,"{""type"":""MultiPoint"",""coordinates"":[]}"
