system:index,date,heat_index,maximum_temperature,minimum_temperature,relative_humidity,saturation_vapor_pressure,vapor_pressure_deficit,.geo
1983_01_01,19830101,74.23293314956304,26.517210742620026,19.696070686100033,89.84606768390326,2.9035469833321454,0.31284493742525343,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_02,19830102,75.47602088808075,27.153581893350193,20.448533407346467,86.8944912407342,3.0258306321196664,0.41850280585720784,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_03,19830103,70.21588825616311,23.15564919268991,18.63380812847708,96.80229102908157,2.511663107421455,0.08783374899836975,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_04,19830104,73.06749968641387,25.868549733650024,19.058581791524812,91.97280090812623,2.792627487595625,0.23935355263666844,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_05,19830105,73.96667367830051,26.30616644236046,19.533763784123213,93.52928376385546,2.8697485210388667,0.19931809076174037,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_06,19830106,72.97172154404046,25.612932659509614,19.216286103556474,91.83457577322412,2.7783449226477015,0.24209968640109686,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_07,19830107,72.99829415449007,25.675971155091535,19.188078929120163,91.56447544248084,2.782746289658734,0.25053021411492127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_08,19830108,71.85507433433233,24.64685125801507,18.886239885345216,96.43839839124304,2.6627728882737047,0.10352352144211296,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_09,19830109,74.30076863446573,27.13643315457922,19.110374304253284,91.38469622454305,2.9270363947537943,0.26898904262095924,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_10,19830110,74.10540846576839,26.279137945550637,19.73607420358132,92.38459375336414,2.8817096878224473,0.23445522920118542,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_11,19830111,73.33191011083409,26.57013450081893,18.649563004651412,91.45954485014667,2.8363735896395887,0.2586935792030312,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_12,19830112,74.55245400976948,26.48587105217881,20.09102327992597,88.82091745992344,2.9289304215138348,0.3467217641992597,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_13,19830113,73.20515679186722,25.475309172953214,19.6320590259522,90.58270705215574,2.7957085779332744,0.28119882354586134,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_14,19830114,72.67542918648306,26.122057471688336,18.37496770648506,92.58482851944571,2.7718100435151825,0.21994457118154512,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_15,19830115,73.37970604483537,25.678220910350166,19.586552905285455,91.68048995310866,2.811060069583532,0.2494098826890855,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_16,19830116,74.91811247697966,26.42517190092192,20.514941016520098,89.77497329111175,2.9538396850345645,0.32034548891224257,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_17,19830117,76.0037408363162,27.315512769804226,20.788204418392635,89.17995063901887,3.068318061471924,0.35196979522089084,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_18,19830118,73.87886179526022,25.707593823981096,20.029640344184212,93.92254321781667,2.845739006057499,0.18604450361935174,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_19,19830119,73.4489589901421,25.070358512908456,20.230733518525373,93.16706876679669,2.79904678534335,0.20530235597233135,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_20,19830120,72.31530130942036,24.544226447428308,19.502287278963824,95.37653729296105,2.696778032254046,0.13562957613956272,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_21,19830121,72.6085389655406,24.956411125153068,19.411779396177273,94.91930475009708,2.728513869713611,0.15002855676130986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_22,19830122,71.03576349273442,23.7964222938057,18.86694513906644,96.5482067799005,2.5840997372086596,0.09756612076651391,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_23,19830123,73.3089584440697,26.141884458346627,19.011068085047203,93.16683015297717,2.8172644587952322,0.2068945857600903,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_24,19830124,73.71157129543035,26.19211829928901,19.510046621007245,88.21386880949726,2.8570257096778686,0.35616815874837043,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_25,19830125,73.3531890028105,26.23788772042342,19.050352960120975,89.60849356463575,2.8297744876756443,0.3127564425739702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_26,19830126,74.50088915486974,26.116960439156358,20.36116504669189,90.59845970934771,2.9110446567610486,0.29098430158585076,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_27,19830127,74.21427522494098,26.373125984912786,19.798191382190375,90.73952906150517,2.896332626737009,0.28595548563116174,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_28,19830128,76.02871851282796,28.181944066145288,20.040571790980543,85.46561331260861,3.1063538921160956,0.4733243005599563,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_29,19830129,76.87072612732413,27.714059251499926,21.376338587032528,86.39591913899099,3.1571822293161405,0.4526513113867579,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_30,19830130,75.43211755226916,26.93340024797935,20.55391489614652,89.64292960279569,3.0095901034009738,0.33065018550617487,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_01_31,19830131,76.6152321973185,28.633660909697767,20.170800633317842,87.02206194119191,3.167155788639399,0.43207616394195025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_01,19830201,73.17667491041769,25.857414932701534,19.15768454206271,93.081092053511,2.798889413593322,0.20796187257203527,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_02,19830202,74.02464949239896,26.120252751928614,19.792381423664843,93.07294611292559,2.8697253934980376,0.21294558517576204,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_03,19830203,71.35138848822886,24.137416257633,18.86874803971118,96.19419246583473,2.615363565016919,0.1088766448610411,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_04,19830204,72.72164870434858,25.43428586974857,19.08997996961038,93.4562108648105,2.7526170174906572,0.19382430935703865,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_05,19830205,72.20882767204225,25.660387868956317,18.25925927838003,95.94744963157834,2.7184208701914687,0.12030990269240431,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_06,19830206,73.75610489732635,26.10966143270177,19.567203219481343,91.12648261062742,2.8523907304748772,0.26940334359491896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_07,19830207,73.22909787696179,26.1756940451194,18.960683069829866,90.43505444864589,2.8168586741282247,0.2866237524926193,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_08,19830208,72.16311041764386,25.422943408094994,18.533705161312433,92.51397768155796,2.7131244507361587,0.2173990982137327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_09,19830209,73.14755936870425,26.237055695901706,18.79817216790567,91.03262827715534,2.812205597171633,0.2689508017827206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_10,19830210,73.44705183674971,26.03996928658072,19.302803281723985,91.40995087210587,2.8276354670524597,0.2595234482189802,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_11,19830211,74.25297906830555,26.263433873184084,19.90495286964056,92.50453340725635,2.893130391132174,0.23246540099851729,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_12,19830212,75.16439739737923,27.154601566434845,20.020847769234123,90.79132960161826,2.993803859695675,0.29337021309559735,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_13,19830213,75.00197937732607,27.281559099362592,19.73120221378296,90.42226533063753,2.9862694791921482,0.304270454513745,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_14,19830214,73.18081677053857,25.030556952859474,19.922448306571784,95.7546197485736,2.772485703464568,0.12840091536833545,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_15,19830215,74.89085586427703,27.071824193939452,19.809877900626716,90.96393266813021,2.9695528642399105,0.2856504825625833,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_16,19830216,73.67835480397143,26.485167199232443,19.075838849300474,92.47667590464195,2.8564326979043915,0.22985633873329386,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_17,19830217,74.36393539548858,26.920843897842044,19.407559381695243,90.79126811590722,2.925077538790665,0.2868485065895741,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_18,19830218,72.95559471610963,25.533161685222716,19.264275789260864,92.42614957854504,2.7738311530098203,0.2245337723747013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_19,19830219,74.68319167490081,26.603833442597878,20.042101388841164,91.6078965344767,2.937146558066991,0.2626284759227685,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_20,19830220,72.99775119090643,26.871053598058502,17.890738947185003,95.65376188623624,2.816932169001872,0.13362568810464828,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_21,19830221,73.1825634963869,25.96059394445945,19.07196909423888,92.62936320267325,2.8032346166024995,0.22153584764698359,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_22,19830222,71.40490049076831,24.32143868799285,18.751404816710107,95.78998600216362,2.623417159234445,0.12041465005302053,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_23,19830223,72.13375624709242,25.20160451648742,18.6951631880182,93.67284563019518,2.702600333164996,0.18406924798967333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_24,19830224,74.22478500125915,26.8244724010858,19.35830889912102,90.72579329783521,2.911529784596811,0.2876555909087338,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_25,19830225,74.59653145497239,26.414913695628247,20.139384545679167,91.60516509108656,2.9256699085235596,0.2626129434568675,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_26,19830226,74.3855455353504,27.11108908315343,19.225715916926465,91.37311379740558,2.932375939812247,0.26985434894486676,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_27,19830227,72.96927402526373,26.048132945233444,18.74491632829501,93.18507428807536,2.7896113029615153,0.2043423768220924,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_02_28,19830228,74.1880742771419,26.674203703722615,19.444687285761194,91.73284601226567,2.9025839013377515,0.2566889288622563,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_01,19830301,74.46484627310684,27.026224515569492,19.350713200456514,93.13369431082658,2.93383319828454,0.21735697069506008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_02,19830302,73.15298215610774,25.35151570988452,19.54563986410306,96.8158225112074,2.778116409234175,0.09735470077418906,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_03,19830303,74.23063933004543,27.328107420853744,18.819743010002796,92.37959082295576,2.9292755924810576,0.24018557375575614,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_04,19830304,72.49121210894248,25.783030449874758,18.418966912847804,96.6097244953546,2.7425470075269383,0.10230313845741466,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_05,19830305,74.2486413970707,27.427169217838074,18.712945363652988,93.45685593912923,2.9325394283129476,0.20723088062185,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_06,19830306,71.64914213766264,24.553361494710128,18.74896670889667,96.9550281885102,2.6469404420514744,0.08875090411798221,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_07,19830307,71.28947487778551,25.029642409227026,17.89517604647659,96.83085040595586,2.634552728472732,0.0918108656943783,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_08,19830308,72.31913656700314,26.20012779310932,17.872783255389354,94.4781874859427,2.748539037122501,0.16530330350079875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_09,19830309,73.26806299705204,26.378460932904343,18.81830762502715,89.66465511472207,2.8297164397915515,0.3124567520196044,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_10,19830310,73.67533751360075,26.57022233647624,19.017084681142972,91.29091459559643,2.862586108718331,0.2669062214338873,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_11,19830311,73.72510749336303,25.747360372167876,19.773274545594465,96.08988719850073,2.833036213878571,0.12157987638955979,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_12,19830312,72.56122535044751,25.446502441496357,18.836535078334055,96.32992792504977,2.7385485467948314,0.1106511832574221,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_13,19830313,72.64147931196558,25.836931491461325,18.53935002905177,95.99541456868329,2.756791232139107,0.12151374427352364,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_14,19830314,73.16115983076921,26.803017342184475,18.119439068741684,96.14648356400137,2.826616331348269,0.11964807817785758,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_15,19830315,71.52362784438245,24.213397769477425,18.94913334733858,97.23571927528681,2.629490765530293,0.08016331097859097,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_16,19830316,73.82623546330008,26.33900158424077,19.296612889747923,95.76927655137429,2.85883113108282,0.13278302127920735,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_17,19830317,75.02781261233832,27.497831577391135,19.479844540122926,92.93218602157953,2.9932263756361532,0.2279185608733357,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_18,19830318,73.83515837061124,26.69657061043687,19.021701200740544,92.82521695414866,2.875902631151395,0.22198786387058694,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_19,19830319,72.80244094368042,26.096929050806,18.421746558091773,97.11888017429142,2.772973595172401,0.08765577615832718,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_20,19830320,73.93559290668158,26.48733648540467,19.33353775880468,92.97314289423423,2.8763172814226525,0.21791048576747338,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_21,19830321,71.85847702927478,24.553304015182132,18.963204729275443,97.25005355594666,2.6611470284424423,0.08060463674102478,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_22,19830322,71.79503602305735,25.732571008637194,17.732532411109744,96.61768968837467,2.6919396646379483,0.09992717118479136,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983_03_23,19830323,74.30876655278244,27.029783673173796,19.196516664009394,92.54943736519401,2.923192357453774,0.23412994518289415,"{""type"":""MultiPoint"",""coordinates"":[]}"
