system:index,cluster_id,label,.geo
1_+2661+5723,2021138719,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2673+5696,590686206,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2675+5734,-579235901,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2686+5683,-83207285,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2698+5829,34695210,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2700+5771,1915591197,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2701+5721,1289501363,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2701+5790,140021852,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2712+5832,-1374995188,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2717+5827,-11840974,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2728+5817,2058608466,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2729+5678,-991583225,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2735+5785,2023575862,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2746+5845,-556000931,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2748+5835,1069286726,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2749+5815,-335238800,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2756+5678,1723929436,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2763+5705,-688763560,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2769+5818,2039882945,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2769+5839,-1541780320,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2771+5791,-85298000,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2774+5740,494035169,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2775+5865,-1236940496,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2779+5858,-2035491121,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2781+5738,1571863981,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2781+5867,-639501826,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2797+5751,-1309119565,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2802+5789,-731125903,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2815+5815,1311660890,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2820+5765,-1758267256,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2833+5773,-2084209055,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2835+5759,-753114359,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2837+5701,935421578,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2842+5718,-120901731,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2849+5805,92208156,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2855+5865,-1641676252,pandanwangi,"{""type"":""MultiPoint"",""coordinates"":[]}"
