================================================================================
SAWAH CLASSIFICATION KNN-DTW TUNING EXPERIMENT
Date: 2025-05-21 15:00:49
Dataset: evi_campaka.csv
Labels: label_sawah_campaka.csv
EVI mode: True
================================================================================

EXPERIMENT PARAMETERS:
DTW constraints: ['sakoe_chiba']
DTW slopes: [1]
DTW radii: [15, 30, 60]
KNN values: [3, 7, 11, 15, 19]
Start years: [2015, 2018, 2021]
Year spans: [3, 5, 7]

Total combinations to test: 135

RESULTS:
--------------------------------------------------------------------------------
Iter  Year Range      DTW Parameters       k               Accuracy   Time (s)       
--------------------------------------------------------------------------------
1     2015-2018       sakoe_chiba, slope=1, rad=15 3               0.8357     84.44          
>>> NEW BEST: Accuracy=0.8357 <<<
2     2015-2018       sakoe_chiba, slope=1, rad=15 7               0.8423     81.38          
>>> NEW BEST: Accuracy=0.8423 <<<
3     2015-2018       sakoe_chiba, slope=1, rad=15 11              0.8396     81.24          
4     2015-2018       sakoe_chiba, slope=1, rad=15 15              0.8422     82.19          
5     2015-2018       sakoe_chiba, slope=1, rad=15 19              0.8279     83.88          
6     2015-2018       sakoe_chiba, slope=1, rad=30 3               0.8306     81.00          
7     2015-2018       sakoe_chiba, slope=1, rad=30 7               0.8422     82.86          
8     2015-2018       sakoe_chiba, slope=1, rad=30 11              0.8357     85.24          
9     2015-2018       sakoe_chiba, slope=1, rad=30 15              0.8344     85.39          
10    2015-2018       sakoe_chiba, slope=1, rad=30 19              0.8292     83.12          
11    2015-2018       sakoe_chiba, slope=1, rad=60 3               0.8319     86.47          
12    2015-2018       sakoe_chiba, slope=1, rad=60 7               0.8449     85.54          
>>> NEW BEST: Accuracy=0.8449 <<<
13    2015-2018       sakoe_chiba, slope=1, rad=60 11              0.8370     86.95          
14    2015-2018       sakoe_chiba, slope=1, rad=60 15              0.8331     84.13          
15    2015-2018       sakoe_chiba, slope=1, rad=60 19              0.8279     84.38          
16    2015-2020       sakoe_chiba, slope=1, rad=15 3               0.8383     181.15         
17    2015-2020       sakoe_chiba, slope=1, rad=15 7               0.8514     181.31         
>>> NEW BEST: Accuracy=0.8514 <<<
18    2015-2020       sakoe_chiba, slope=1, rad=15 11              0.8605     181.29         
>>> NEW BEST: Accuracy=0.8605 <<<
19    2015-2020       sakoe_chiba, slope=1, rad=15 15              0.8488     181.06         
20    2015-2020       sakoe_chiba, slope=1, rad=15 19              0.8462     180.91         
21    2015-2020       sakoe_chiba, slope=1, rad=30 3               0.8410     190.30         
22    2015-2020       sakoe_chiba, slope=1, rad=30 7               0.8488     190.37         
23    2015-2020       sakoe_chiba, slope=1, rad=30 11              0.8462     190.86         
24    2015-2020       sakoe_chiba, slope=1, rad=30 15              0.8487     190.44         
25    2015-2020       sakoe_chiba, slope=1, rad=30 19              0.8462     190.26         
26    2015-2020       sakoe_chiba, slope=1, rad=60 3               0.8332     207.40         
27    2015-2020       sakoe_chiba, slope=1, rad=60 7               0.8462     207.50         
28    2015-2020       sakoe_chiba, slope=1, rad=60 11              0.8475     207.88         
29    2015-2020       sakoe_chiba, slope=1, rad=60 15              0.8462     207.64         
