system:index,cluster_id,label,.geo
1_+2639+5754,-951379010,pandanwangi,"{""geodesic"":false,""type"":""MultiPolygon"",""coordinates"":[[[[107.04742677941758,-6.847746626604772],[107.04724587803312,-6.847747397251488],[107.0472451070181,-6.847566593046793],[107.04688330433905,-6.847568134088696],[107.0468829189079,-6.8474777319683815],[107.04670201755938,-6.847478502372553],[107.04670240296359,-6.847568904510833],[107.04652150156119,-6.847569674861105],[107.04652227230672,-6.847750479155632],[107.046703173772,-6.8477497087784105],[107.04670394459838,-6.847930513045989],[107.04742755052243,-6.8479274307915015],[107.04742677941758,-6.847746626604772]]],[[[107.04760459630174,-6.847022639220122],[107.04796639840588,-6.84702109775601],[107.04796408485774,-6.8464786853485355],[107.04814498568523,-6.846477914576056],[107.04814344328688,-6.846116306346327],[107.0477816418924,-6.846117847738574],[107.04778395511714,-6.846660260208931],[107.04760305418186,-6.846661030873613],[107.04760459630174,-6.847022639220122]]],[[[107.04742677941758,-6.847746626604772],[107.04751723010081,-6.847746241263448],[107.047516458978,-6.847565437085701],[107.04778781089296,-6.8475642809718975],[107.04778742529112,-6.847473878896499],[107.04760652405939,-6.847474649642029],[107.04760459630174,-6.847022639220122],[107.04724279409879,-6.847024180414739],[107.04724317957486,-6.847114582517087],[107.04715272899942,-6.847114967777563],[107.04715311445753,-6.8472053698888935],[107.04724356505093,-6.8472049846194345],[107.04724433603003,-6.8473857888331136],[107.04742523727074,-6.847385018231313],[107.04742677941758,-6.847746626604772]]],[[[107.04788134666038,-6.848287112099013],[107.04779089589628,-6.848287497548134],[107.04779166719878,-6.848468301689948],[107.0478821179988,-6.848467916231843],[107.0478825036725,-6.848558318298259],[107.0479729544815,-6.848557932813203],[107.04797334017316,-6.848648334879619],[107.04824469262712,-6.848647178316656],[107.04824507838167,-6.848737580365105],[107.04833552919966,-6.848737194808185],[107.04833514342714,-6.84864679276872],[107.04851604502718,-6.848646021609964],[107.04851527342825,-6.848465217557982],[107.04860572418335,-6.84846483196513],[107.0486053383749,-6.848374429934647],[107.04887669056835,-6.848373273075241],[107.04887553302622,-6.848102067046676],[107.04869463166872,-6.848102838277296],[107.04869424586927,-6.848012436255797],[107.04860379520399,-6.848012821839666],[107.0486034094225,-6.8479224198091835],[107.04824160677937,-6.847923961956015],[107.04824199248901,-6.848014364004464],[107.04815154179678,-6.848014749507485],[107.04815038473076,-6.847743543353155],[107.04796948342717,-6.847744314269366],[107.0479690977894,-6.847653912202951],[107.0478786471421,-6.847654297634106],[107.0478782615223,-6.847563895558708],[107.04778781089296,-6.8475642809718975],[107.04778858211459,-6.8477450851137105],[107.04760768077507,-6.847745855895174],[107.0476084519428,-6.847926660063937],[107.0477893533542,-6.847925889264507],[107.04779051024954,-6.848197095472736],[107.04788096099566,-6.848196710032598],[107.04788134666038,-6.848287112099013]],[[107.04788134666038,-6.848287112099013],[107.0478817323251,-6.848377514165428],[107.04797218309817,-6.848377128698339],[107.04797179741549,-6.848286726631924],[107.04788134666038,-6.848287112099013]]]]}"
1_+2645+5637,1774790624,pandanwangi,"{""geodesic"":false,""type"":""MultiPolygon"",""coordinates"":[[[[107.04647914280652,-6.837625436667851],[107.0464783732288,-6.837444632292476],[107.04629747561728,-6.837445401430022],[107.04629786036571,-6.837535803622202],[107.04638830919842,-6.837535419062411],[107.04638869396483,-6.837625821245608],[107.04647914280652,-6.837625436667851]]],[[[107.04683670494336,-6.8366294743147185],[107.04683632014103,-6.836539072149489],[107.04674587153289,-6.8365394567362285],[107.04674625631726,-6.836629858910442],[107.04683670494336,-6.8366294743147185]]],[[[107.04865145416257,-6.837977809749335],[107.0486518393871,-6.8380682118067675],[107.0487422881749,-6.83806782677087],[107.04874267342639,-6.838158228828302],[107.04883312223215,-6.8381578437654555],[107.0488323517112,-6.837977039668558],[107.04865145416257,-6.837977809749335]]],[[[107.04846978623671,-6.837797775616433],[107.04846901589542,-6.8376169714746196],[107.0482881184456,-6.837617741375734],[107.04828657795167,-6.837256133038208],[107.04801523194762,-6.837257287705725],[107.0480144618309,-6.837076483510012],[107.04846670498833,-6.837074559031213],[107.04846593472789,-6.836893754880417],[107.04837548613773,-6.836894139799532],[107.0483758712455,-6.836984541883914],[107.04828542263736,-6.836984926785064],[107.04828426737696,-6.836713720531919],[107.0475606787275,-6.836716799049415],[107.04756144862863,-6.836897603308009],[107.04738055134949,-6.836898372786916],[107.0473813211967,-6.837079177054493],[107.0472908725167,-6.837079561784963],[107.04729125743582,-6.837169963923244],[107.04720080872887,-6.8371703486357465],[107.04720042382773,-6.837079946488483],[107.04701952644079,-6.837080715859591],[107.04702106593759,-6.837442324475595],[107.04693061716776,-6.83744270916115],[107.04693100203298,-6.837533111317396],[107.04684055324519,-6.837533495984984],[107.04684093810141,-6.8376238981502135],[107.04647914280652,-6.837625436667851],[107.0464799124022,-6.837806241034244],[107.04846978623671,-6.837797775616433]]],[[[107.04701952644079,-6.837080715859591],[107.04701798702483,-6.836719107225622],[107.04692753838975,-6.83671949186626],[107.04692715356946,-6.83662908970103],[107.04683670494336,-6.8366294743147185],[107.0468386290269,-6.837081485149851],[107.04701952644079,-6.837080715859591]]],[[[107.04865145416257,-6.837977809749335],[107.04865068373145,-6.837797005625488],[107.04846978623671,-6.837797775616433],[107.04847055659596,-6.837978579758247],[107.04865145416257,-6.837977809749335]]]]}"
1_+2647+5690,-1240275661,pandanwangi,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[107.04876232790006,-6.842768733146483],[107.04876271342104,-6.842859135185948],[107.04885316310715,-6.84285874986259],[107.04885354864611,-6.842949151893072],[107.0490344480363,-6.842948381183475],[107.0490332913296,-6.842677175118976],[107.04885239203823,-6.842677945801625],[107.0488527775682,-6.8427683478321075],[107.04876232790006,-6.842768733146483]]]}"
1_+2657+5635,-1382920932,pandanwangi,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[107.04937350282114,-6.837613120944969],[107.04937504421338,-6.837974729021984],[107.04991773652692,-6.837972417773539],[107.04991696561969,-6.837791613793422],[107.05027876025882,-6.837790072652703],[107.05027798923481,-6.837609268717503],[107.0501875406177,-6.837609654013911],[107.0501867696476,-6.837428850069727],[107.05009632105742,-6.837429235339186],[107.05009477925195,-6.837067627414885],[107.04973298511588,-6.837069168250176],[107.04973452665186,-6.837430776255325],[107.04955362941763,-6.837431546614581],[107.0495544001452,-6.83761235063063],[107.04937350282114,-6.837613120944969]]]}"
1_+2662+5641,316006814,pandanwangi,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[107.0488323517112,-6.837977039668558],[107.04883312223215,-6.8381578437654555],[107.04955671246263,-6.838154762687761],[107.04955709786684,-6.838245164700278],[107.04964754663666,-6.838244779484717],[107.04964793206783,-6.838335181488251],[107.05010017593493,-6.838333255122989],[107.0501005614559,-6.838423657099573],[107.05028145900455,-6.838422886425907],[107.05028184456147,-6.838513288393508],[107.05037229334027,-6.838512903025234],[107.05037152219948,-6.838332099107999],[107.05046197094237,-6.838331713730742],[107.05046042866078,-6.8379701059052564],[107.0508222233089,-6.83796856431538],[107.0508226089377,-6.838058966256032],[107.05091305759971,-6.8380585808158925],[107.05091344325545,-6.83814898274756],[107.05100389193545,-6.838148597280472],[107.05100312059703,-6.837967793426119],[107.05118401786719,-6.837967022464993],[107.05118324648386,-6.837786218628606],[107.05100234928555,-6.837786989571766],[107.05099926422832,-6.837063774136389],[107.05090881575495,-6.837064159540596],[107.0509084301621,-6.836973757608928],[107.05081798169769,-6.836974142986185],[107.0508175961318,-6.836883741045534],[107.05063669922994,-6.836884511746149],[107.05063747029887,-6.8370653156544],[107.05045657330719,-6.8370660863101],[107.05045734433119,-6.837246890227334],[107.05063824139474,-6.837246119553669],[107.05063901251756,-6.837426923452937],[107.05054856395435,-6.837427308812228],[107.05054894950229,-6.837517710761862],[107.05045850091211,-6.837518096112169],[107.05045811538216,-6.837427694153552],[107.05027721822877,-6.837428464782302],[107.05027644724967,-6.837247660838117],[107.0500955501502,-6.837248431377035],[107.05009632105742,-6.837429235339186],[107.0501867696476,-6.837428850069727],[107.0501875406177,-6.837609654013911],[107.05027798923481,-6.837609268717503],[107.05027876025882,-6.837790072652703],[107.04991696561969,-6.837791613793422],[107.04991773652692,-6.837972417773539],[107.04937504421338,-6.837974729021984],[107.04937350282114,-6.837613120944969],[107.0491926054791,-6.837613891187443],[107.0491929907845,-6.837704293217926],[107.04901209338858,-6.837705063397518],[107.04901247865804,-6.837795465436984],[107.04919337608989,-6.837794695248409],[107.04919414672763,-6.8379754993093735],[107.0488323517112,-6.837977039668558]]]}"
1_+2668+5645,-1680257232,pandanwangi,"{""geodesic"":false,""type"":""MultiPolygon"",""coordinates"":[[[[107.05028184456147,-6.838513288393508],[107.05028145900455,-6.838422886425907],[107.0501005614559,-6.838423657099573],[107.05010017593493,-6.838333255122989],[107.04991927840425,-6.838334025724789],[107.04992004937436,-6.838514829695923],[107.05028184456147,-6.838513288393508]]],[[[107.0506444109163,-6.838692550711883],[107.05064518220082,-6.8388733546021685],[107.050916528672,-6.838872198182937],[107.05091614298034,-6.838781796251269],[107.05082569417458,-6.838782181736324],[107.05082530850088,-6.838691779804656],[107.0506444109163,-6.838692550711883]]],[[[107.0506444109163,-6.838692550711883],[107.05064325402995,-6.838421344880947],[107.05073370277283,-6.838420959449792],[107.05073331714405,-6.83833055750914],[107.05118556069674,-6.838328630128783],[107.05118478927747,-6.8381478263013795],[107.05091344325545,-6.83814898274756],[107.05091305759971,-6.8380585808158925],[107.0508226089377,-6.838058966256032],[107.0508222233089,-6.83796856431538],[107.05046042866078,-6.8379701059052564],[107.05046197094237,-6.838331713730742],[107.05037152219948,-6.838332099107999],[107.05037229334027,-6.838512903025234],[107.05028184456147,-6.838513288393508],[107.0502826156843,-6.838694092328709],[107.0506444109163,-6.838692550711883]]]]}"
1_+2670+5819,2093071365,pandanwangi,"{""geodesic"":false,""type"":""MultiPolygon"",""coordinates"":[[[[107.04980475474888,-6.853883934484385],[107.04980398207196,-6.8537031306120655],[107.04962307872022,-6.8537039028218505],[107.04962385132526,-6.853884706712135],[107.04980475474888,-6.853883934484385]]],[[[107.05007572345153,-6.85379237409431],[107.05007533706817,-6.853701972171624],[107.04989443374336,-6.853702744480223],[107.0498948200908,-6.853793146411892],[107.05007572345153,-6.85379237409431]]],[[[107.05107378432307,-6.8545113400222855],[107.05107417094,-6.854601741882088],[107.0511646227102,-6.854601355462785],[107.05116423606631,-6.854510953611966],[107.05107378432307,-6.8545113400222855]]],[[[107.05143365792395,-6.854057785064028],[107.05143443124764,-6.854238588747701],[107.05161533459939,-6.854237815792314],[107.05161494790161,-6.854147413959461],[107.05152449624819,-6.854147800441646],[107.05152410956838,-6.854057398599809],[107.05143365792395,-6.854057785064028]]],[[[107.05161378782624,-6.8538762084698845],[107.05161417451504,-6.853966610302738],[107.05170462612354,-6.85396622381157],[107.05170423942576,-6.8538758219877],[107.05161378782624,-6.8538762084698845]]],[[[107.05107378432307,-6.8545113400222855],[107.05107262449023,-6.854240134433894],[107.0508917210756,-6.8542409071826675],[107.05089094794954,-6.854060103436113],[107.05080049626916,-6.854060489774567],[107.05080088281423,-6.854150891652337],[107.05071043110692,-6.854151277972824],[107.050710817643,-6.854241679859577],[107.05052991419242,-6.85424245246462],[107.05052952769228,-6.854152050577867],[107.05043907597597,-6.85415243685344],[107.05043868949379,-6.854062034948721],[107.05016733436285,-6.854063193658656],[107.05016617512291,-6.8537919879085685],[107.05007572345153,-6.85379237409431],[107.05007610984389,-6.853882776016994],[107.04980475474888,-6.853883934484385],[107.04980514109631,-6.853974336416052],[107.04989559281262,-6.853973950275227],[107.049895979187,-6.854064352206896],[107.05007688263757,-6.85406357985338],[107.05007726904789,-6.854153981776065],[107.0502581725254,-6.8541532093417015],[107.05025855897166,-6.854243611255403],[107.05034901071491,-6.854243225006781],[107.05034939717913,-6.854333626911499],[107.05062075243583,-6.854332468057833],[107.05062113896294,-6.854422869944585],[107.05080204247638,-6.854422097285643],[107.05080242903942,-6.8545124991634125],[107.05107378432307,-6.8545113400222855]]],[[[107.05089094794954,-6.854060103436113],[107.0510718512923,-6.854059330714288],[107.05107107812132,-6.8538785269857],[107.05125198137426,-6.85387775421896],[107.05125120815836,-6.853696950508338],[107.05088940176029,-6.853698495943004],[107.05089094794954,-6.854060103436113]]],[[[107.05143365792395,-6.854057785064028],[107.05143288460923,-6.853876981371372],[107.05125198137426,-6.85387775421896],[107.05125275461711,-6.8540585579206],[107.05143365792395,-6.854057785064028]]],[[[107.05143288460923,-6.853876981371372],[107.05161378782624,-6.8538762084698845],[107.05161301446661,-6.853695404804178],[107.05143211132147,-6.8536961776876995],[107.05143288460923,-6.853876981371372]]]]}"
1_+2671+5659,149147846,pandanwangi,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[107.05064595350332,-6.839054158492454],[107.05064672483276,-6.839234962373756],[107.05073717372835,-6.8392345768976845],[107.05073678804565,-6.839144174957034],[107.05082723692328,-6.839143789471979],[107.05082762262394,-6.839234191403647],[107.05091807151054,-6.839233805891642],[107.05091730008229,-6.83905300203729],[107.05100774893297,-6.839052616525286],[107.05100813466056,-6.83914301844797],[107.05109858352023,-6.839142632909017],[107.05109819777466,-6.839052230986332],[107.05118864660737,-6.839051845438395],[107.05118980390695,-6.839323051170517],[107.05109935502034,-6.83932343673642],[107.05109974078387,-6.839413838659105],[107.05100929187032,-6.839414224207042],[107.05101006337942,-6.839595028052411],[107.05091961442993,-6.839595413600348],[107.05092000016651,-6.8396858155230325],[107.05101044913397,-6.839685429975096],[107.0510123780145,-6.840137439570554],[107.05119327610214,-6.840136668357899],[107.05119250446727,-6.839955864548462],[107.05137340246506,-6.839955093290891],[107.05137147329707,-6.8395030837942485],[107.05146192220164,-6.839502698165464],[107.05146153637521,-6.839412296269728],[107.05155198525284,-6.83941191063196],[107.05154967025842,-6.838869499284498],[107.05073563103355,-6.838872969144064],[107.05073640237195,-6.839053773025365],[107.05064595350332,-6.839054158492454]]]}"
1_+2671+5808,-211608835,pandanwangi,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[107.05061379587329,-6.852705234024429],[107.05052334443546,-6.85270562023712],[107.05052373085476,-6.852796022132855],[107.05034282791624,-6.852796794513319],[107.0503439870933,-6.8530680002364575],[107.05043443861197,-6.853067614041734],[107.05043482503127,-6.853158015946453],[107.05070617960526,-6.8531568572455],[107.05070695256065,-6.853337661019005],[107.05079740410626,-6.853337274734449],[107.05079779060641,-6.853427676621201],[107.05106914527921,-6.85342651766872],[107.05106953183326,-6.8535169195285235],[107.05115998339684,-6.853516533172103],[107.05116036997785,-6.853606935031905],[107.05125082155041,-6.853606548657519],[107.05124927519049,-6.853244941236274],[107.05115882368978,-6.853245327592695],[107.05115843712674,-6.853154925732892],[107.05106798563503,-6.853155312071346],[107.05106721256286,-6.852974508333775],[107.05115766402763,-6.852974122004303],[107.05115727748256,-6.852883720144501],[107.05124772892039,-6.852883333806046],[107.05124811548342,-6.852973735665849],[107.0516099212437,-6.852972190123386],[107.05160953461778,-6.852881788290532],[107.05169998602865,-6.852881401862247],[107.05170037267254,-6.8529718036951],[107.05179082410137,-6.852971417248848],[107.05179005077768,-6.852790613601108],[107.05197095354553,-6.8527898406726715],[107.05197134023433,-6.852880242496541],[107.05206179162724,-6.852879856005373],[107.05206217834298,-6.852970257811277],[107.05215262974487,-6.852969871302143],[107.05215340322128,-6.853150674904968],[107.05269611173144,-6.853148355409988],[107.05269572488993,-6.8530579536400165],[107.05278617627386,-6.853057566996135],[107.05278578941437,-6.852967165235148],[107.05269533804842,-6.852967551861062],[107.05269379074525,-6.852605944763211],[107.05197018017692,-6.852609037042897],[107.05196940682627,-6.85242823340414],[107.05178850420215,-6.852429006287661],[107.05178889083706,-6.852519408111531],[107.05160798815903,-6.852520180941154],[107.05160837476699,-6.852610582774006],[107.05133702065115,-6.852611741897167],[107.05133624754305,-6.852430938186545],[107.05124579619505,-6.852431324516016],[107.05124656926722,-6.852612128235622],[107.0511561178833,-6.852612514556109],[107.05115573135619,-6.852522112696307],[107.05106527998126,-6.8525224989898454],[107.0510648934811,-6.852432097121059],[107.05088399074918,-6.852432869663221],[107.05088476368661,-6.852613673418759],[107.05079431228472,-6.852614059676364],[107.05079392582948,-6.852523657789613],[107.05070347442759,-6.852524044029252],[107.05070231515171,-6.8522528383510295],[107.05052141244676,-6.852253610740477],[107.05052063968002,-6.85207280693104],[107.05070154232209,-6.852072034577525],[107.05070076951044,-6.851891230786054],[107.05033896435204,-6.851892775403253],[107.05033973701995,-6.852073579230656],[107.04997793164596,-6.852075123614292],[107.04998024938024,-6.8526175352043],[107.05016115228284,-6.852616762985532],[107.05016076594438,-6.852526361062847],[107.05043212021293,-6.852525202622406],[107.05043250659631,-6.8526156045271245],[107.05061340945399,-6.852614832137677],[107.05061379587329,-6.852705234024429]],[[107.05061379587329,-6.852705234024429],[107.05061418231055,-6.852795635920165],[107.05070463375736,-6.852795249689509],[107.05070424731112,-6.852704847802756],[107.05061379587329,-6.852705234024429]]]}"
1_+2673+5645,-1485585344,pandanwangi,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[107.05064325402995,-6.838421344880947],[107.0506444109163,-6.838692550711883],[107.05082530850088,-6.838691779804656],[107.05082569417458,-6.838782181736324],[107.05091614298034,-6.838781796251269],[107.050916528672,-6.838872198182937],[107.05136877269182,-6.838870270479186],[107.05136722960177,-6.8385086628692955],[107.05100543466618,-6.838510204980194],[107.05100466329183,-6.838329401134825],[107.05073331714405,-6.83833055750914],[107.05073370277283,-6.838420959449792],[107.05064325402995,-6.838421344880947]]]}"
