id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,lahan_sawah_irigasi,lahan_sawah_tadah_hujan,lahan_sawah_rawa_pasang_surut,lahan_sawah_rawa_lebak,jumlah_lahan_sawah,satuan,tahun
1,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203010,AGRABINTA,32.03.22,AGRABINTA,0,34287,0,0,3428.7,HEKTAR,2022
2,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203011,LELES,32.03.30,LELES,419,17449,0,0,1786.8,HEKTAR,2022
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203020,SINDANGBARANG,32.03.21,SINDANGBARANG,341,25523,0,0,2586.4,HEKTAR,2022
4,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203030,CIDAUN,32.03.23,CIDAUN,11836,36766,0,0,4860.2,HEKTAR,2022
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203040,NARINGGUL,32.03.24,NARINGGUL,8636,28044,0,0,3668.0,HEKTAR,2022
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203050,CIBINONG,32.03.20,CIBINONG,14287,9758,0,0,2404.5,HEKTAR,2022
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203051,CIKADU,32.03.26,CIKADU,13266,10000,0,0,2326.6,HEKTAR,2022
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203060,TANGGEUNG,32.03.19,TANGGEUNG,7995,8152,0,0,1614.7,HEKTAR,2022
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203061,PASIRKUDA,32.03.32,PASIRKUDA,10417,5226,0,0,1564.3,HEKTAR,2022
10,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203070,KADUPANDAK,32.03.17,KADUPANDAK,23403,9430,0,0,3283.3,HEKTAR,2022
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203071,CIJATI,32.03.29,CIJATI,4995,9023,0,0,1401.8,HEKTAR,2022
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203080,TAKOKAK,32.03.16,TAKOKAK,14314,2816,0,0,1713.0,HEKTAR,2022
13,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203090,SUKANAGARA,32.03.14,SUKANAGARA,3308,3092,0,0,640.0,HEKTAR,2022
14,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203100,PAGELARAN,32.03.18,PAGELARAN,21785,13601,0,0,3538.6,HEKTAR,2022
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203110,CAMPAKA,32.03.15,CAMPAKA,10680,5891,0,0,1657.1,HEKTAR,2022
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203111,CAMPAKAMULYA,32.03.25,CAMPAKAMULYA,7824,4193,0,0,1201.7,HEKTAR,2022
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203120,CIBEBER,32.03.03,CIBEBER,17346,15039,0,0,3238.5,HEKTAR,2022
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203130,WARUNGKONDANG,32.03.02,WARUNGKONDANG,19630,0,0,0,1963.0,HEKTAR,2022
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203131,GEKBRONG,32.03.27,GEKBRONG,10398,137,0,0,1053.5,HEKTAR,2022
20,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203140,CILAKU,32.03.04,CILAKU,24221,161,0,0,2438.2,HEKTAR,2022
21,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203150,SUKALUYU,32.03.09,SUKALUYU,24095,1345,29,0,2546.9,HEKTAR,2022
22,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203160,BOJONGPICUNG,32.03.06,BOJONGPICUNG,25569,1048,0,0,2661.7,HEKTAR,2022
23,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203161,HAURWANGI,32.03.31,HAURWANGI,12996,0,54,0,1305.0,HEKTAR,2022
24,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203170,CIRANJANG,32.03.05,CIRANJANG,17950,34,338,0,1832.2,HEKTAR,2022
25,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203180,MANDE,32.03.08,MANDE,6492,7239,98,0,1382.9,HEKTAR,2022
26,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203190,KARANGTENGAH,32.03.07,KARANGTENGAH,29451,0,0,0,2945.1,HEKTAR,2022
27,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203200,CIANJUR,32.03.01,CIANJUR,10180,0,0,0,1018.0,HEKTAR,2022
28,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203210,CUGENANG,32.03.11,CUGENANG,15844,1038,0,0,1688.2,HEKTAR,2022
29,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203220,PACET,32.03.10,PACET,3195,17,0,0,321.2,HEKTAR,2022
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203221,CIPANAS,32.03.28,CIPANAS,35,2282,0,0,231.7,HEKTAR,2022
31,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203230,SUKARESMI,32.03.13,SUKARESMI,13565,8630,0,8,2220.3,HEKTAR,2022
32,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203240,CIKALONGKULON,32.03.12,CIKALONGKULON,15303,8768,51,0,2412.2,HEKTAR,2022
