system:index,cluster_id,label,.geo
1_+3219+7565,-917794643,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3219+7609,-637045209,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3277+6999,311245178,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3289+6951,-688633003,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3291+6961,1650058784,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3322+7049,-1907846162,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3329+6935,915438257,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3333+7589,-899949139,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3339+6897,-1344971223,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3343+6977,1388155823,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3343+7515,1899831993,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3356+6901,214820671,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3401+7551,-452163700,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3405+6949,-1095451347,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3411+7609,-1927114857,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3416+7445,-1029889705,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3419+6985,599283644,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3425+6875,2098126633,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3425+7493,593633771,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3431+6912,-263205183,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3433+6971,-1340001761,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3439+6915,-2142798840,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3443+6947,-1741580654,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3447+7571,-961683955,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3459+7083,455897423,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3463+6955,35335500,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3700+7513,344793503,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3708+7541,172473050,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3891+7602,694968859,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3911+7368,185122031,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3924+7332,-1345919017,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3959+7475,616936207,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3960+7445,377971710,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3963+7739,-736174498,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3980+7328,-1362720936,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3985+7549,921279356,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3989+7935,25588357,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3991+7451,-425388837,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+4000+7667,2074493430,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+4015+7942,-836217663,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+4047+7317,79397419,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+4105+7702,951742797,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3192+7221,-1815857134,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3208+7372,402047594,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3239+7444,-238404423,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3256+7382,-904660810,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3263+7481,-1157895558,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3269+7461,-465706651,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3283+7551,-1734223259,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3285+7417,-1251222235,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3299+7023,-1616938130,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3316+7060,-789582172,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3316+7483,701945210,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3317+7049,722930318,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3340+7182,-1317041628,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3343+7515,1899831993,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3351+7507,1097025329,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3362+7423,-252926923,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3385+6887,231096580,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3400+7473,705598823,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3415+6905,-2057753634,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3503+7033,2039391519,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3533+7037,-782450145,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3558+7485,-774857833,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3563+7509,-155259251,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3595+7511,-1531071647,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3635+7421,-2011071694,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3663+7392,1483117605,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_+3667+7439,1379050268,non-sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
