system:index,cluster_id,label,.geo
1_+3219+7603,-1411995113,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3221+7565,777074459,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3225+7121,1556401155,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3241+7081,-1884251655,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3242+7083,-1704417957,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3267+7037,1836472454,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3269+7061,-459118043,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3272+6985,-786005399,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3273+6857,1838051275,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3273+7005,997978944,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3277+7817,-986822753,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3281+6993,-1858255651,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3282+6962,1662444234,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3282+6993,-2130195037,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3289+6969,-652200254,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3289+7321,-705318979,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3291+7445,1126044901,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3292+6951,-332343787,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3292+7719,-998999162,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3293+6981,368538671,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3297+6971,1342030061,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3300+6967,2052254561,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3306+6945,-1143699668,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3306+7089,600333201,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3307+7721,1491505920,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3309+7563,1575531898,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3309+7583,994975662,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3311+7587,630927221,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3313+7045,-332014464,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3314+6931,92401617,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3315+7571,1712223482,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3317+6921,9716178,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3317+6975,518788841,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3319+6939,383893107,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3319+7225,-556556467,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3319+7567,34531421,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3321+7595,1009654758,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3323+6977,17603781,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3325+6935,1869749914,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3326+6919,125849977,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3329+6935,-711452445,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3331+6933,-1696369408,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3333+6929,1458325933,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3333+7593,190676153,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3335+6975,992623625,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3335+7185,268116807,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3335+7556,145295032,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+3336+6894,2123940101,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
