system:index,cluster_id,label,.geo
1_+2639+5754,-951379010,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2645+5637,1774790624,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2657+5635,-1382920932,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2662+5641,316006814,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2671+5808,-211608835,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2673+5645,-1485585344,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2673+5701,460074109,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2673+5709,317969863,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2675+5663,-1126641591,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2675+5689,-1332502152,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2675+5711,180956768,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2676+5658,1826601390,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2677+5715,1398037989,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2679+5681,-252494530,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2679+5682,-1670128044,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2679+5719,683118044,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2680+5665,1370194731,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2681+5821,-1662399620,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2685+5681,-1847988994,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2685+5683,1498697744,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2686+5645,-592704056,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2687+5711,-103422284,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2689+5823,362933510,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2691+5671,-1773825070,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2691+5823,-723892959,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2693+5655,446142745,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2693+5717,157596559,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2693+5817,1246754914,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2695+5671,1021268857,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2695+5713,-742196581,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_+2696+5658,724953203,sawah,"{""type"":""MultiPoint"",""coordinates"":[]}"
